candidate_id,refinement_status,refined_rank,refined_candidate_score,area_m2,equivalent_candidate_patch_diameter_m,centroid_lat,centroid_lon,mean_ice_probability,max_ice_probability,ice_confidence_score,depth_likelihood_class,shallow_ice_likelihood,deep_ice_likelihood,psr_stability_proxy,mean_ratio_contribution,mean_intensity_contribution,mean_roughness_suitability_contribution,mean_psr_proxy_contribution,mean_candidate_score,mean_texture,mean_dem_roughness_proxy,mean_terrain_roughness,slope_safety_score,roughness_hazard_score,roughness_ambiguity_risk,confidence_before_penalty,confidence_after_penalty,candidate_confidence_after_roughness_penalty,confidence_level,reason_for_confidence,mean_slope_deg,max_slope_deg,nearest_landing_site_id,distance_to_nearest_landing_site_m,validation_priority_rank
C-055,kept_for_planning,1.0,0.9196858704090118,5000.0,79.78845608028654,-87.40691873656922,81.92374258254729,0.8393717408180237,0.8634000420570374,1.0,shallow-likelihood,1.0,0.6499999761581421,0.28291943669319153,0.28117689304053783,0.2667193468660116,0.22279146872460842,0.06868401169776917,0.8225793838500977,0.13780471682548523,0.0,0.0,1.0,0.0,Low,Medium,Medium,Medium,Medium,Medium before penalty; Medium after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-05,1561.8279804847268,5
C-052,kept_for_planning,2.0,0.9085673391819,6250.0,89.20620580763855,-87.36240310507867,82.02482211355412,0.8171346783638,0.858161985874176,0.9961431503295899,shallow-likelihood,0.9949860811233521,0.6449860632419586,0.2571002721786499,0.2693049505352974,0.26224620938301085,0.22441332787275314,0.061170165240764615,0.7950607538223267,0.13285283744335175,0.0,0.0,1.0,0.0,Low,Medium,Medium,Medium,Medium,Medium before penalty; Medium after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-05,2549.9031844366164,6
C-050,kept_for_planning,3.0,0.90838423371315,5000.0,79.78845608028654,-87.40368598899394,81.85807471394118,0.8167684674263,0.8478644490242004,1.0,shallow-likelihood,1.0,0.6499999761581421,0.28104448318481445,0.28776482678949833,0.24626406095921993,0.21460121124982834,0.06813836470246315,0.8336400985717773,0.1604185402393341,0.0,0.0,1.0,0.0,Low,Medium,Low,Low,Low,Medium before penalty; Low after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-05,1528.0738744003838,11
C-042,kept_for_planning,4.0,0.9055329263210297,9375.0,109.25484305920791,-87.37866334028057,81.60000904743451,0.8110658526420593,0.8523538708686829,0.9966184854507446,shallow-likelihood,0.9956040223439534,0.6456040024757386,0.26653122504552207,0.2726962129275004,0.2543399840593338,0.2201148400704066,0.06391474405924479,0.7999980449676514,0.14519503712654114,0.0,0.0,1.0,0.0,Low,High,High,High,High,High before penalty; High after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-05,1806.301469854908,2
C-030,kept_for_planning,5.0,0.9002879858016968,5625.0,84.62843753216345,-87.41938261588577,81.02078608918964,0.8005759716033936,0.8594837784767151,0.9860531091690063,shallow-likelihood,0.9818690352969699,0.6318690247005887,0.2901484039094713,0.2732038050889969,0.23649033738507164,0.22009404334757063,0.0707877700527509,0.7878220081329346,0.14525248110294342,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-05,335.92740617910584,20
C-045,kept_for_planning,6.0,0.8968617916107178,5000.0,79.78845608028654,-87.38098119480708,81.71281164230992,0.7937235832214355,0.8215467929840088,1.0,shallow-likelihood,1.0,0.6499999761581421,0.26787547767162323,0.2590930964797735,0.27000001072883606,0.2003245484083891,0.06430594436824322,0.8050523996353149,0.199837327003479,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-05,1838.4802869829746,18
C-025,kept_for_planning,7.0,0.896325558423996,13125.0,129.27207364566027,-87.42577142180633,80.84790171837825,0.7926511168479919,0.8378415107727051,0.9962722290129888,shallow-likelihood,0.995153892607916,0.6451538716043744,0.29385359798158917,0.2848376589162009,0.24240476531641825,0.19354260287114552,0.07186604965300787,0.8460480570793152,0.21856272220611572,0.0,0.0,1.0,0.0,Low,High,High,High,High,High before penalty; High after roughness penalty; low roughness ambiguity and high threshold stability.,0.0,0.0,L-05,105.49661201854936,1
C-011,kept_for_planning,8.0,0.8922082185745239,11250.0,119.6826841204298,-87.44489680276521,80.22352631143121,0.7844164371490479,0.845028817653656,0.9965108864837222,shallow-likelihood,0.9954641461372375,0.6454641256067488,0.3049464424451192,0.25578995214568245,0.24757514314519036,0.20595707330438826,0.07509426772594452,0.7799490094184875,0.18428555130958557,0.0,0.0,1.0,0.0,Low,High,Medium,Medium,Medium,High before penalty; Medium after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-02,186.34935000400063,3
C-038,kept_for_planning,9.0,0.8909023404121399,5000.0,79.78845608028654,-87.3789777607809,81.47784635136681,0.7818046808242798,0.830344021320343,0.9945947825908661,shallow-likelihood,0.9929732233285904,0.6429731994867325,0.26671357080340385,0.26965308748185635,0.24000984616577625,0.20817388966679573,0.0639678118750453,0.7950525879859924,0.1781647801399231,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-03,1708.3349212390995,29
C-029,kept_for_planning,10.0,0.8896194398403168,8750.0,105.5502061411188,-87.41210196237117,81.0387861879755,0.7792388796806335,0.8387259840965271,0.9891019761562347,shallow-likelihood,0.9858325549534389,0.6358325396265302,0.2859255863087518,0.2692796747599329,0.2298929382647787,0.2105074343936784,0.069558854081801,0.775698184967041,0.1717217117547989,0.0,0.0,1.0,0.0,Low,Medium,Medium,Medium,Medium,Medium before penalty; Medium after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-05,544.4818263116534,9
C-031,kept_for_planning,11.0,0.8886006474494934,6250.0,89.20620580763855,-87.41629263136137,81.11056710668414,0.7772012948989868,0.8279855251312256,0.9770000636577606,shallow-likelihood,0.9701000690460205,0.620100063085556,0.28835620284080504,0.265318463742733,0.2150096282362938,0.22660694867372513,0.07026620879769326,0.7354005575180054,0.12665019929409027,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-05,483.73546489791323,19
C-051,kept_for_planning,12.0,0.8884622156620026,7500.0,97.720502380584,-87.39913610233359,81.89458351568479,0.7769244313240051,0.8498249053955078,0.9929514477650324,shallow-likelihood,0.9908368686834971,0.6408368547757467,0.2784054254492124,0.23779942219456038,0.26109010726213455,0.21066450327634811,0.06737035140395164,0.7502073645591736,0.17128802835941315,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-05,1643.7830055832933,14
C-024,kept_for_planning,13.0,0.8840867877006531,5625.0,84.62843753216345,-87.45656972165081,80.68559734811808,0.7681735754013062,0.8102823495864868,0.9971799850463867,shallow-likelihood,0.9963339699639214,0.6463339593675401,0.3117169174883101,0.2747952822181914,0.2171433518330256,0.19917035433981153,0.07706459860006969,0.7896605730056763,0.20302413403987885,0.0,0.0,1.0,0.0,Low,Medium,Low,Low,Low,Medium before penalty; Low after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-04,285.51718289517265,15
C-056,kept_for_planning,14.0,0.8839230537414551,8125.0,101.71072362820549,-87.72352995184431,80.85725620599514,0.7678461074829102,0.8143599033355713,0.9898415299562308,shallow-likelihood,0.9867939765636737,0.6367939618917612,0.466553827890983,0.2673598172572943,0.18871326171434843,0.1896480264571997,0.12212494302254456,0.7468208074569702,0.2293158918619156,0.0,0.0,1.0,0.0,Low,Medium,Low,Low,Low,Medium before penalty; Low after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-04,7818.214300725645,13
C-017,kept_for_planning,15.0,0.8839167654514313,5000.0,79.78845608028654,-87.40486335886055,80.62289373292774,0.7678335309028625,0.8075891733169556,0.9860539138317108,shallow-likelihood,0.9818700850009918,0.6318700611591339,0.28172717243433,0.28281925432384014,0.19558185525238514,0.2210954036563635,0.06833704002201557,0.7514060735702515,0.14248764514923096,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-03,294.8119103767689,43
C-016,kept_for_planning,16.0,0.8837664723396301,5625.0,84.62843753216345,-87.44749864314161,80.45016802565665,0.7675329446792603,0.8367038369178772,0.9910621378156874,shallow-likelihood,0.9883807632658217,0.6383807526694404,0.306455565823449,0.26008324490653145,0.22791403697596657,0.204002203212844,0.07553345213333766,0.7678987979888916,0.18968307971954346,0.0,0.0,1.0,0.0,Low,Low,Low,Low,Low,Low before penalty; Low after roughness penalty; low roughness ambiguity and low threshold stability.,0.0,0.0,L-02,412.0952934264082,30
C-022,kept_for_planning,17.0,0.8831540942192078,8750.0,105.5502061411188,-87.44287141754643,80.635981089599,0.7663081884384155,0.8151025176048279,1.0,shallow-likelihood,1.0,0.6499999761581421,0.30377192156655447,0.2537036325250353,0.2690194227865764,0.1688326820731163,0.07475246116518974,0.834157407283783,0.2867884039878845,0.0,0.0,1.0,0.0,Low,High,Medium,Medium,Medium,High before penalty; Medium after roughness penalty; low roughness ambiguity and medium threshold stability.,0.0,0.0,L-05,549.3067291168584,4
