path,product_id,product_type,role,resolution,usable,notes,pixel_resolution,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,width,height,crs,sample_p02,sample_p50,sample_p98
C:\Users\nsraw\Downloads\tantra-mantra\ch2_ohr_ncp_20211228T2209123959_d_img_d18_Bundle\ch2_ohr_ncp_20211228T2209123959_d_img_d18.zip,ch2_ohr_ncp_20211228T2209123959_d_img_d18,OHRC zip bundle,optical / hazard interpretation,0.28 m/pixel,yes - browse/context; IMG requires extraction/PDS handling,"1 IMG, 3 XML, 1 browse PNG inside zip",0.28,-89.923132,55.564452,-89.850542,110.41603,-89.257559,233.745958,-89.252796,224.351932,,,,,,
C:\Users\nsraw\Downloads\tantra-mantra\ch2_ohr_ncp_20211228T2209123959_d_img_d18_Bundle\ch2_ohr_ncp_20241115T1326321339_d_img_d18.zip,ch2_ohr_ncp_20241115T1326321339_d_img_d18,OHRC zip bundle,optical / hazard interpretation,0.24 m/pixel,yes - browse/context; IMG requires extraction/PDS handling,"1 IMG, 3 XML, 1 browse PNG inside zip",0.24,-89.19986,222.259328,-89.20906,229.728973,-89.908842,110.268353,-89.946885,22.453651,,,,,,
C:\Users\nsraw\Downloads\tantra-mantra\ch2_ohr_ncp_20211228T2209123959_d_img_d18_Bundle\ch2_ohr_ncp_20241115T1525004388_d_img_d18.zip,ch2_ohr_ncp_20241115T1525004388_d_img_d18,OHRC zip bundle,optical / hazard interpretation,0.24 m/pixel,yes - browse/context; IMG requires extraction/PDS handling,"1 IMG, 3 XML, 1 browse PNG inside zip",0.24,-89.196875,221.909032,-89.193425,229.33004,-89.917686,105.92217,-89.950601,4.686608,,,,,,
C:\Users\nsraw\Downloads\tantra-mantra\ch2_ohr_ncp_20211228T2209123959_d_img_d18_Bundle\ch2_ohr_ncp_20251010T0942085687_d_img_d18.zip,ch2_ohr_ncp_20251010T0942085687_d_img_d18,OHRC zip bundle,optical / hazard interpretation,0.22 m/pixel,yes - browse/context; IMG requires extraction/PDS handling,"1 IMG, 3 XML, 1 browse PNG inside zip",0.22,-89.219895,218.053507,-89.228375,226.509641,-89.928812,57.548965,-89.877154,351.147086,,,,,,
ch2_sar_ncls_20200808t201154198_d_cp_d18\browse\calibrated\20200808\ch2_sar_ncls_20200808t201154198_b_brw_xx_cp_xx_d18.png,ch2_sar_ncls_20200808t201154198_d_cp_d18,SAR/DFSAR,browse/quicklook,,yes - browse only,not checked,,,,,,,,,,,,,,,
ch2_sar_ncls_20200808t201154198_d_cp_d18\browse\calibrated\20200808\ch2_sar_ncls_20200808t201154198_b_brw_xx_cp_xx_d18.xml,ch2_sar_ncls_20200808t201154198_d_cp_d18,SAR/DFSAR,PDS/XML metadata,,yes,not checked,,,,,,,,,,,,,,,
ch2_sar_ncls_20200808t201154198_d_cp_d18\data\calibrated\20200808\ch2_sar_ncxl_20200808t201154198_d_gri_in_cp_xx_d18.tif,ch2_sar_ncls_20200808t201154198_d_cp_d18,SAR/DFSAR,science raster,1.0 x 1.0 m/pixel,yes,not checked,,,,,,,,,,786.0,16943.0,missing,0.9859572052955629,24.66228675842285,34.54667854309082
ch2_sar_ncls_20200808t201154198_d_cp_d18\data\calibrated\20200808\ch2_sar_ncxl_20200808t201154198_d_gri_xx_cp_lh_d18.tif,ch2_sar_ncls_20200808t201154198_d_cp_d18,SAR/DFSAR,science raster,1.0 x 1.0 m/pixel,yes,not checked,,,,,,,,,,786.0,16943.0,missing,0.0,498.0,3142.0
ch2_sar_ncls_20200808t201154198_d_cp_d18\data\calibrated\20200808\ch2_sar_ncxl_20200808t201154198_d_gri_xx_cp_lv_d18.tif,ch2_sar_ncls_20200808t201154198_d_cp_d18,SAR/DFSAR,science raster,1.0 x 1.0 m/pixel,yes,not checked,,,,,,,,,,786.0,16943.0,missing,0.0,434.0,2880.0
ch2_sar_ncls_20200808t201154198_d_cp_d18\data\calibrated\20200808\ch2_sar_ncxl_20200808t201154198_d_gri_xx_cp_xx_d18.xml,ch2_sar_ncls_20200808t201154198_d_cp_d18,SAR/DFSAR,PDS/XML metadata,25.0 m/pixel,yes,"center lat/lon -84.145182, 90.135612",,,,,,,,,,,,,,,
ch2_sar_ncls_20200808t201154198_d_cp_d18\data\calibrated\20200808\ch2_sar_ncxl_20200808t201154198_d_sli_xx_cp_lh_d18.tif,ch2_sar_ncls_20200808t201154198_d_cp_d18,SAR/DFSAR,science raster,1.0 x 1.0 m/pixel,yes,not checked,,,,,,,,,,759.0,355768.0,missing,-6194.58505859375,0.0,5920.63608398436
ch2_sar_ncls_20200808t201154198_d_cp_d18\data\calibrated\20200808\ch2_sar_ncxl_20200808t201154198_d_sli_xx_cp_lv_d18.tif,ch2_sar_ncls_20200808t201154198_d_cp_d18,SAR/DFSAR,science raster,1.0 x 1.0 m/pixel,yes,not checked,,,,,,,,,,759.0,355768.0,missing,-5426.695849609375,0.0,5378.114160156224
ch2_sar_ncls_20200808t201154198_d_cp_d18\data\calibrated\20200808\ch2_sar_ncxl_20200808t201154198_d_sli_xx_cp_xx_d18.xml,ch2_sar_ncls_20200808t201154198_d_cp_d18,SAR/DFSAR,PDS/XML metadata,9.593359 m/pixel,yes,"center lat/lon -87.678092, 80.978127",,,,,,,,,,,,,,,
