route_type,step,row,col,distance_m,step_distance_m,slope_deg,texture_risk_proxy,science_reward_proxy,step_energy_proxy,cumulative_energy_proxy
shortest,0,60,784,0.0,0.0,0.0,0.0,0.6139333844184875,0.0,0.0
shortest,1,60,783,25.0,25.0,0.0,0.012505616992712021,0.7572042942047119,25.056275276467204,25.056275276467204
shortest,2,60,782,50.0,25.0,0.0,0.017560668289661407,0.505046546459198,25.079023007303476,50.13529828377068
shortest,3,60,781,75.0,25.0,0.0,0.02067294530570507,0.5832206010818481,25.093028253875673,75.22832653764635
shortest,4,60,780,100.0,25.0,0.0,0.011969256214797497,0.4935967028141022,25.053861652966592,100.28218819061294
shortest,5,60,779,125.0,25.0,0.0,0.002491933759301901,0.8190687894821167,25.01121370191686,125.2934018925298
shortest,6,60,778,150.0,25.0,0.0,0.012460948899388313,0.7535414099693298,25.056074270047247,150.34947616257705
shortest,7,60,777,175.0,25.0,0.0,0.0,0.34178492426872253,25.0,175.34947616257705
shortest,8,60,776,200.0,25.0,0.0,0.0,0.29375001788139343,25.0,200.34947616257705
shortest,9,60,775,225.0,25.0,0.0,0.023455394431948662,0.6576858758926392,25.105549274943765,225.45502543752082
shortest,10,60,774,250.0,25.0,0.0,0.0,0.5033494830131531,25.0,250.45502543752082
shortest,11,60,773,275.0,25.0,0.0,0.0,0.938996434211731,25.0,275.4550254375208
shortest,12,60,772,300.0,25.0,0.0,0.0,0.59796541929245,25.0,300.4550254375208
shortest,13,60,771,325.0,25.0,0.0,0.0,0.4870230257511139,25.0,325.4550254375208
shortest,14,60,770,350.0,25.0,0.0,0.0,0.6790593266487122,25.0,350.4550254375208
shortest,15,60,769,375.0,25.0,0.0,0.0,0.830349326133728,25.0,375.4550254375208
shortest,16,61,768,410.3553390593274,35.35533905932738,0.0,0.0,0.3604227602481842,35.35533905932738,410.8103644968482
shortest,17,62,767,445.71067811865476,35.35533905932738,0.0,0.0,0.48759374022483826,35.35533905932738,446.1657035561756
shortest,18,63,766,481.06601717798213,35.35533905932738,0.0,0.0,0.19284190237522125,35.35533905932738,481.52104261550295
shortest,19,64,765,516.4213562373095,35.35533905932738,0.0,0.0,0.5688078999519348,35.35533905932738,516.8763816748303
shortest,20,65,764,551.776695296637,35.35533905932738,0.0,0.0,0.41299498081207275,35.35533905932738,552.2317207341578
shortest,21,66,763,587.1320343559644,35.35533905932738,0.0,0.0,0.5000309348106384,35.35533905932738,587.5870597934852
shortest,22,67,762,622.4873734152918,35.35533905932738,0.0,0.0,0.5673785209655762,35.35533905932738,622.9423988528126
shortest,23,68,761,657.8427124746192,35.35533905932738,0.0,0.0,0.18394355475902557,35.35533905932738,658.2977379121401
shortest,24,69,760,693.1980515339467,35.35533905932738,0.0,0.0,0.36313799023628235,35.35533905932738,693.6530769714675
shortest,25,69,759,718.1980515339467,25.0,0.0,0.007738905027508736,0.6409218907356262,25.03482507262379,718.6879020440913
shortest,26,70,758,753.5533905932741,35.35533905932738,0.0,0.015352443791925907,0.2543276250362396,35.453041413344884,754.1409434574362
shortest,27,71,757,788.9087296526016,35.35533905932738,0.0,0.0,0.24549870193004608,35.35533905932738,789.4962825167636
shortest,28,72,756,824.264068711929,35.35533905932738,0.0,0.00945526547729969,0.6169184446334839,35.415512000359634,824.9117945171232
shortest,29,73,755,859.6194077712564,35.35533905932738,0.0,0.01817651093006134,0.23005035519599915,35.47101366656,860.3828081836832
shortest,30,74,754,894.9747468305839,35.35533905932738,0.0,0.010534899309277534,0.42393022775650024,35.42238274799375,895.805190931677
shortest,31,75,753,930.3300858899113,35.35533905932738,0.0,0.003226785222068429,0.2889368534088135,35.37587419473499,931.181065126412
shortest,32,76,752,965.6854249492387,35.35533905932738,0.0,0.002767686964944005,0.5127772688865662,35.3729525113174,966.5540176377294
shortest,33,77,751,1001.0407640085662,35.35533905932738,0.0,0.00041658440022729337,0.5361417531967163,35.35799018621641,1001.9120078239458
shortest,34,78,750,1036.3961030678936,35.35533905932738,0.0,0.0,0.37429875135421753,35.35533905932738,1037.2673468832731
shortest,35,79,749,1071.751442127221,35.35533905932738,0.0,0.0,0.3473258912563324,35.35533905932738,1072.6226859426006
shortest,36,80,748,1107.1067811865485,35.35533905932738,0.0,0.0,0.365933358669281,35.35533905932738,1107.978025001928
shortest,37,81,747,1142.462120245876,35.35533905932738,0.0,0.0,0.409359872341156,35.35533905932738,1143.3333640612555
shortest,38,82,746,1177.8174593052033,35.35533905932738,0.0,0.0,0.2995486259460449,35.35533905932738,1178.6887031205829
shortest,39,83,745,1213.1727983645308,35.35533905932738,0.0,0.0009250652510672808,0.5464510917663574,35.361226138536004,1214.049929259119
shortest,40,83,744,1238.1727983645308,25.0,0.0,0.012505616992712021,0.43937042355537415,25.056275276467204,1239.1062045355861
shortest,41,83,743,1263.1727983645308,25.0,0.0,0.009004422463476658,0.315357506275177,25.040519901085645,1264.1467244366718
shortest,42,84,742,1298.5281374238582,35.35533905932738,0.0,0.07594067603349686,0.5051867365837097,35.83862256224797,1299.9853469989198
shortest,43,84,741,1323.5281374238582,25.0,0.0,0.0852508470416069,0.33332881331443787,25.38362881168723,1325.368975810607
shortest,44,84,740,1348.5281374238582,25.0,0.0,0.06880850344896317,0.19544440507888794,25.309638265520334,1350.6786140761274
shortest,45,84,739,1373.5281374238582,25.0,0.0,0.08056557923555374,0.5371837615966797,25.362545106559992,1376.0411591826874
shortest,46,84,738,1398.5281374238582,25.0,0.0,0.07271414995193481,0.46024882793426514,25.327213674783707,1401.368372857471
shortest,47,84,737,1423.5281374238582,25.0,0.0,0.09717464447021484,0.39797326922416687,25.43728590011597,1426.805658757587
shortest,48,84,736,1448.5281374238582,25.0,0.0,0.10476873070001602,0.19162262976169586,25.471459288150072,1452.277118045737
shortest,49,84,735,1473.5281374238582,25.0,0.0,0.09468601644039154,0.5482197999954224,25.426087073981762,1477.7032051197189
shortest,50,84,734,1498.5281374238582,25.0,0.0,0.08543570339679718,0.33631932735443115,25.384460665285584,1503.0876657850044
shortest,51,84,733,1523.5281374238582,25.0,0.0,0.027117982506752014,0.5689163208007812,25.122030921280388,1528.2096967062848
shortest,52,84,732,1548.5281374238582,25.0,0.0,0.015883686020970345,0.20530223846435547,25.071476587094367,1553.2811732933792
shortest,53,84,731,1573.5281374238582,25.0,0.0,0.013709443621337414,0.16430018842220306,25.06169249629602,1578.3428657896752
shortest,54,84,730,1598.5281374238582,25.0,0.0,0.0,0.5112875699996948,25.0,1603.3428657896752
shortest,55,84,729,1623.5281374238582,25.0,0.0,0.002675790572538972,0.4191950857639313,25.012041057576422,1628.3549068472516
shortest,56,84,728,1648.5281374238582,25.0,0.0,0.0,0.23290173709392548,25.0,1653.3549068472516
shortest,57,84,727,1673.5281374238582,25.0,0.0,0.0,0.24412180483341217,25.0,1678.3549068472516
shortest,58,84,726,1698.5281374238582,25.0,0.0,0.003226785222068429,0.48390233516693115,25.014520533499308,1703.369427380751
shortest,59,84,725,1723.5281374238582,25.0,0.0,0.0,0.16507449746131897,25.0,1728.369427380751
shortest,60,84,724,1748.5281374238582,25.0,0.0,0.0,0.4936661124229431,25.0,1753.369427380751
shortest,61,84,723,1773.5281374238582,25.0,0.0,0.0,0.27842071652412415,25.0,1778.369427380751
shortest,62,84,722,1798.5281374238582,25.0,0.0,0.0,0.48621925711631775,25.0,1803.369427380751
shortest,63,84,721,1823.5281374238582,25.0,0.0,0.009725493378937244,0.12478084117174149,25.043764720205218,1828.4131921009562
shortest,64,84,720,1848.5281374238582,25.0,0.0,0.015352443791925907,0.655687153339386,25.069085997063667,1853.4822780980198
shortest,65,85,719,1883.8834764831856,35.35533905932738,0.0,0.015662435442209244,0.5380546450614929,35.45501418812712,1888.9372922861469
shortest,66,86,718,1919.238815542513,35.35533905932738,0.0,0.0,0.7809893488883972,35.35533905932738,1924.2926313454743
shortest,67,87,717,1954.5941546018405,35.35533905932738,0.0,0.0,0.5101746320724487,35.35533905932738,1959.6479704048018
shortest,68,88,716,1989.949493661168,35.35533905932738,0.0,0.0,0.3374881446361542,35.35533905932738,1995.0033094641292
shortest,69,89,715,2025.3048327204954,35.35533905932738,0.0,0.0,0.6867156624794006,35.35533905932738,2030.3586485234566
shortest,70,90,714,2060.6601717798226,35.35533905932738,0.0,0.026946477591991425,0.5703752636909485,35.52682539263687,2065.8854739160934
shortest,71,91,713,2096.01551083915,35.35533905932738,0.0,0.05419471114873886,0.11911224573850632,35.70023208914685,2101.5857060052404
shortest,72,92,712,2131.3708498984774,35.35533905932738,0.0,0.05114971473813057,0.5666694045066833,35.68085385065118,2137.2665598558915
shortest,73,93,711,2166.726188957805,35.35533905932738,0.0,0.02457965351641178,0.5471979379653931,35.51176301645341,2172.7783228723447
shortest,74,94,710,2202.0815280171323,35.35533905932738,0.0,0.05231441929936409,0.3283390700817108,35.68826598509113,2208.466588857436
shortest,75,95,709,2237.4368670764597,35.35533905932738,0.0,0.07880440354347229,0.1392412930727005,35.85684721252393,2244.32343606996
shortest,76,96,708,2272.792206135787,35.35533905932738,0.0,0.19859559834003448,0.4145325720310211,36.61919370802772,2280.9426297779873
shortest,77,97,707,2308.1475451951146,35.35533905932738,0.0,0.22244392335414886,0.5544861555099487,36.770963519064516,2317.713593297052
shortest,78,98,706,2343.502884254442,35.35533905932738,0.0,0.2486073076725006,0.5229449272155762,36.937466277297176,2354.651059574349
shortest,79,99,705,2378.8582233137695,35.35533905932738,0.0,0.25944310426712036,0.5596007108688354,37.0064248645617,2391.6574844389106
shortest,80,100,704,2414.213562373097,35.35533905932738,0.0,0.20248903334140778,0.4606010913848877,36.64397137665195,2428.3014558155623
shortest,81,101,703,2449.5689014324244,35.35533905932738,0.0,0.09979216009378433,0.9623463749885559,35.990412477331496,2464.291868292894
shortest,82,102,702,2484.924240491752,35.35533905932738,0.0,0.07248547673225403,0.47502684593200684,35.816633808541624,2500.1085021014355
shortest,83,103,701,2520.279579551079,35.35533905932738,0.0,0.045640405267477036,0.22204460203647614,35.645792819873996,2535.7542949213093
shortest,84,104,700,2555.6349186104067,35.35533905932738,0.0,0.007512448821216822,0.3819509446620941,35.40314799087057,2571.1574429121797
shortest,85,105,699,2590.990257669734,35.35533905932738,0.0,0.034671198576688766,0.42945176362991333,35.57598521595636,2606.733428128136
shortest,86,106,698,2626.3455967290615,35.35533905932738,0.0,0.009320065379142761,0.5050438046455383,35.414651592203626,2642.1480797203394
shortest,87,107,697,2661.700935788389,35.35533905932738,0.0,0.018571848049759865,0.43644246459007263,35.473529576583736,2677.621609296923
shortest,88,108,696,2697.0562748477164,35.35533905932738,0.0,0.044455353170633316,0.7367478609085083,35.63825119451036,2713.2598604914333
shortest,89,109,695,2732.411613907044,35.35533905932738,0.0,0.04252689331769943,0.5675104856491089,35.62597855115706,2748.8858390425903
shortest,90,110,694,2767.7669529663713,35.35533905932738,0.0,0.07567594945430756,0.6254386305809021,35.83693785261422,2784.7227768952043
shortest,91,111,693,2803.1222920256987,35.35533905932738,0.0,0.08937232196331024,0.3780342638492584,35.92410103352317,2820.6468779287275
shortest,92,112,692,2838.477631085026,35.35533905932738,0.0,0.09349068254232407,0.40762028098106384,35.9503101197583,2856.597188048486
shortest,93,113,691,2873.8329701443536,35.35533905932738,0.0,0.1376229077577591,0.4830211102962494,36.23116588122648,2892.828353929712
shortest,94,114,690,2909.188309203681,35.35533905932738,0.0,0.13788604736328125,0.4530152380466461,36.232840491421655,2929.0611944211337
shortest,95,115,689,2944.5436482630084,35.35533905932738,0.0,0.08276597410440445,0.384024053812027,35.88205849319399,2964.943252914328
shortest,96,116,688,2979.898987322336,35.35533905932738,0.0,0.09879004210233688,0.6395090818405151,35.98403503748578,3000.9272879518135
shortest,97,117,687,3015.2543263816633,35.35533905932738,0.0,0.09936296194791794,0.6872058510780334,35.98768107705676,3036.91496902887
shortest,98,118,686,3050.6096654409907,35.35533905932738,0.0,0.0757894366979599,0.5846889615058899,35.8376600810103,3072.75262910988
shortest,99,119,685,3085.965004500318,35.35533905932738,0.0,0.03167692571878433,0.5859683156013489,35.556929780173434,3108.3095588900537
shortest,100,120,684,3121.3203435596456,35.35533905932738,0.0,0.00528511218726635,0.3988902270793915,35.388973307329906,3143.6985321973834
shortest,101,121,683,3156.675682618973,35.35533905932738,0.0,0.0025838727597147226,0.42875975370407104,35.37178272487843,3179.070314922262
shortest,102,121,682,3181.675682618973,25.0,0.0,0.0,0.5215902328491211,25.0,3204.070314922262
shortest,103,122,681,3217.0310216783005,35.35533905932738,0.0,0.0,0.9575784802436829,35.35533905932738,3239.425653981589
shortest,104,123,680,3252.386360737628,35.35533905932738,0.0,0.0,0.6990893483161926,35.35533905932738,3274.7809930409167
