product_id,path,coverage_fraction,coverage_class,usable_for_analysis,selected_for_terrain,pixel_size_m,width,height,bounds,reason
ch2_tmc_ndn_20220109T1022082458_d_dtm_d32,C:\Users\nsraw\Downloads\tantra-mantra\ch2_tmc_ndn_20220109T1022082458_d_dtm_d32\data\derived\20220109\ch2_tmc_ndn_20220109T1022082458_d_dtm_d32.tif,1.0,FULL,True,False,10.0,94650,18754,"(-41850.08203125, -33643.40625, 904649.91796875, 153896.59375)",covers the complete configured rectangular AOI
ch2_tmc_ndn_20220109T1615439830_d_dtm_d32,C:\Users\nsraw\Downloads\tantra-mantra\ch2_tmc_ndn_20220109T1615439830_d_dtm_d32\data\derived\20220109\ch2_tmc_ndn_20220109T1615439830_d_dtm_d32.tif,1.0,FULL,True,False,10.0,93811,23949,"(-41403.578125, -34424.078125, 896706.421875, 205065.921875)",covers the complete configured rectangular AOI
ch2_tmc_ndn_20231026T0943001971_d_dtm_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_tmc_ndn_20231026T0943001971_d_dtm_d18\data\derived\20231026\ch2_tmc_ndn_20231026T0943001971_d_dtm_d18.tif,0.6817873420392382,PARTIAL,True,False,10.0,90222,6211,"(-24695.125, -49127.8310546875, 877524.875, 12982.1689453125)",intersects the configured AOI but does not cover it completely
ch2_tmc_ndn_20231026T1339018616_d_dtm_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_tmc_ndn_20231026T1339018616_d_dtm_d18\data\derived\20231026\ch2_tmc_ndn_20231026T1339018616_d_dtm_d18.tif,0.580555239447475,PARTIAL,True,False,10.0,90249,2821,"(-27501.240234375, -16292.0166015625, 874988.759765625, 11917.9833984375)",intersects the configured AOI but does not cover it completely
ch2_tmc_ndn_20231026T1735025409_d_dtm_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_tmc_ndn_20231026T1735025409_d_dtm_d18\data\derived\20231026\ch2_tmc_ndn_20231026T1735025409_d_dtm_d18.tif,1.0,FULL,True,True,10.0,90236,4297,"(-28368.681640625, -7340.7109375, 873991.318359375, 35629.2890625)",covers the complete configured rectangular AOI
ch2_tmc_ndn_20231027T1315134884_d_dtm_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_tmc_ndn_20231027T1315134884_d_dtm_d18\data\derived\20231027\ch2_tmc_ndn_20231027T1315134884_d_dtm_d18.tif,1.0,FULL,True,False,10.0,88302,20813,"(-29134.947265625, -11646.4375, 853885.052734375, 196483.5625)",covers the complete configured rectangular AOI
ch2_tmc_ndn_20231027T1711146475_d_dtm_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_tmc_ndn_20231027T1711146475_d_dtm_d18\data\derived\20231027\ch2_tmc_ndn_20231027T1711146475_d_dtm_d18.tif,1.0,FULL,True,False,10.0,87597,23853,"(-30800.4140625, -12574.625, 845169.5859375, 225955.375)",covers the complete configured rectangular AOI
ch2_tmc_ndn_20231027T2107171839_d_dtm_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_tmc_ndn_20231027T2107171839_d_dtm_d18\data\derived\20231027\ch2_tmc_ndn_20231027T2107171839_d_dtm_d18.tif,1.0,FULL,True,False,10.0,86779,27100,"(-30201.14453125, -13042.703125, 837588.85546875, 257957.296875)",covers the complete configured rectangular AOI
ch2_tmc_ndn_20231105T0344013627_d_dtm_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_tmc_ndn_20231105T0344013627_d_dtm_d18\data\derived\20231105\ch2_tmc_ndn_20231105T0344013627_d_dtm_d18.tif,0.0,NO COVERAGE,False,False,10.0,51556,77163,"(-499761.84375, -41644.125, 15798.15625, 729985.875)",does not intersect the configured AOI
ch2_tmc_ndn_20231106T0319424961_d_dtm_d18,C:\Users\nsraw\Downloads\tantra-mantra\ch2_tmc_ndn_20231106T0319424961_d_dtm_d18\data\derived\20231106\ch2_tmc_ndn_20231106T0319424961_d_dtm_d18.tif,0.0,NO COVERAGE,False,False,10.0,65777,63232,"(-652435.625, -37689.9375, 5334.375, 594630.0625)",does not intersect the configured AOI
